Period,Shop,Category,Drink,Quantity,Net Revenue,Gross Sales,Discounts,Transactions,Avg Price
Current Oct-Mar,Carlow,Coffee & more,White chocolate mocha,241.0,1233.45,1233.45,-60.6,227,5.12
Current Oct-Mar,Carlow,Fruit tea,Apple Soda,10.0,34.99,43.05,-4.75,10,3.5
Current Oct-Mar,Carlow,Fruit tea,Apple lemonade tea,105.0,423.0,520.46,-4.99,102,4.03
Current Oct-Mar,Carlow,Fruit tea,Mango Iced Teas,3.0,9.15,11.25,0.0,3,3.05
Current Oct-Mar,Carlow,Fruit tea,Mango Passion Lemonade,549.0,2279.67,2804.66,-57.64,525,4.15
Current Oct-Mar,Carlow,Fruit tea,Mango Soda,1.0,2.84,3.49,-1.16,1,2.84
Current Oct-Mar,Carlow,Fruit tea,Passionfruit IT,3.0,11.34,13.95,0.0,3,3.78
Current Oct-Mar,Carlow,Fruit tea,Strawberry Lemonade,399.0,1616.43,1988.47,-32.48,370,4.05
Current Oct-Mar,Carlow,Fruit tea,Strawberry Passion lemonade,117.0,478.64,588.91,-34.69,110,4.09
Current Oct-Mar,Carlow,Fruit tea,Watermelon Lemonade,294.0,1189.04,1462.75,-43.45,273,4.04
Current Oct-Mar,Carlow,Fruit tea,mango passion Fruit Tea,14.0,68.7,68.7,0.0,13,4.91
